codigo_inep,unidade,ibge_sector_code_2022,sector_population_2022,responsible_income_mean_nominal_monthly_brl,responsible_income_median_nominal_monthly_brl,V06004_sector_percentile_unweighted,match_tier,match_method
35084840,CI José Eduardo Voigt Sampaio,352690205000536,449,2457.64,2000,34.8,B,B_CURRENT_SANTA_LUCIA_CNEFE_LUCIA_NAMED_SCHOOL_NUMBER_MISSING
35084876,CI José Reinaldo Ribeiro Brugnaro,352690205000864,348,3112.48,2500,62.1,C,C_SME_FORMAT_ANOMALY_FLEMING_JARDIM_BRASIL_220_RECONCILED_CNEFE
35084864,CI Lia Maura Mattos Silveira,352690205000073,465,2619.74,2000,42.1,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35435200,"CI Lucilia Ramos da Silva Forster, Profa.",352690205000011,210,6944.33,5000,93.5,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35204959,CI Lucinda Tank Kuhl,352690205000300,697,2313.69,1950,27.3,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35462433,"CI Márcia Helena Baldove Bettoni, Profa.",352690205000862,816,2789.15,2100,49.0,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35092411,"CI Maria José de Jesus Silva, Irmã",352690205000712,465,2028.88,1800,14.6,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35060513,"EMEI Maria Wilma Buck Bertaia, Profa.",352690205000024,458,3862.94,3001,79.1,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35449350,"CI Mariana Seleghin Pereira, Profa.",352690205000068,348,2135.57,1500,19.1,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35660097,"EMEI Mercedes Stuchi Duarte de Mattos, Profa.",352690205000571,664,2861.28,2500,51.5,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35084852,CI Murilo Lemos Mendes da Silva,352690205000012,342,4217.42,2850,82.5,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35089084,CI Orlanda Grisi Rocco,352690205000407,367,3182.15,2500,63.9,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35084897,CI Stella Regina Furlan,352690205000637,448,4924.7,3200,87.3,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35004274,"CI Waldimir Jorge Schinor, Vereador",352690205000430,548,2246.72,1800,24.8,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
