edition,publication_date,source_id,document_url
7272,2026-06-27,LIMEIRA_JO_07272,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_26062026170145.pdf
7273,2026-06-30,LIMEIRA_JO_07273,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_29062026120829.pdf
7283,2026-07-16,LIMEIRA_JO_07283,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_16072026083031.pdf
7284,2026-07-17,LIMEIRA_JO_07284,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_16072026172651.pdf
7287,2026-07-22,LIMEIRA_JO_07287,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_21072026165841.pdf
7288,2026-07-23,LIMEIRA_JO_07288,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_22072026170010.pdf
7289,2026-07-24,LIMEIRA_JO_07289,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_23072026165854.pdf
7290,2026-07-25,LIMEIRA_JO_07290,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_24072026165752.pdf
7291,2026-07-28,LIMEIRA_JO_07291,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_27072026183949.pdf
7292,2026-07-29,LIMEIRA_JO_07292,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_28072026164601.pdf
7293,2026-07-30,LIMEIRA_JO_07293,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_29072026164423.pdf
7294,2026-07-31,LIMEIRA_JO_07294,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_30072026170335.pdf
7316,2026-09-01,LIMEIRA_JO_07316,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_31082026165329.pdf
7317,2026-09-02,LIMEIRA_JO_07317,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_01092026164049.pdf
7318,2026-09-03,LIMEIRA_JO_07318,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_02092026164717.pdf
7319,2026-09-04,LIMEIRA_JO_07319,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_03092026201301.pdf
7320,2026-09-05,LIMEIRA_JO_07320,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_04092026165229.pdf
